iter	Accuracy	Logloss
2246	0.8629565718	0.2989290025
2247	0.8629565718	0.2989057058
2248	0.8629565718	0.2988704512
2249	0.8629565718	0.2988396998
2250	0.8631003739	0.2987942934
2251	0.8631003739	0.2987600786
2252	0.8631003739	0.2987154686
2253	0.8633879781	0.298667192
2254	0.8633879781	0.29863785
2255	0.8633879781	0.298619354
2256	0.8631003739	0.2985916481
2257	0.8631003739	0.2985675282
2258	0.8631003739	0.2985365737
2259	0.8635317803	0.298504791
2260	0.8635317803	0.2984841477
2261	0.8638193845	0.2984452854
2262	0.8638193845	0.2984118115
2263	0.8636755824	0.2983790493
2264	0.8636755824	0.2983457423
2265	0.8638193845	0.2982971284
2266	0.8639631867	0.2982698547
2267	0.8641069888	0.2982436069
2268	0.8642507909	0.2982172378
2269	0.8642507909	0.2981820896
2270	0.8642507909	0.2981588718
2271	0.8642507909	0.298122563
2272	0.8642507909	0.2980854206
2273	0.8641069888	0.2980441347
2274	0.8642507909	0.2980246778
2275	0.8642507909	0.2979699724
2276	0.8642507909	0.2979360027
2277	0.8641069888	0.2978999225
2278	0.8641069888	0.2978741852
2279	0.8641069888	0.2978550629
2280	0.8641069888	0.2978369704
2281	0.8641069888	0.297812382
2282	0.8639631867	0.2977800263
2283	0.8641069888	0.2977249594
2284	0.8642507909	0.2976982942
2285	0.8642507909	0.2976641198
2286	0.8642507909	0.2976299339
2287	0.8642507909	0.2975939856
2288	0.864394593	0.2975600721
2289	0.8642507909	0.2975383677
2290	0.8642507909	0.2975228871
2291	0.8642507909	0.2974794798
2292	0.8642507909	0.2974497179
2293	0.864394593	0.2974254517
2294	0.864394593	0.2973848331
2295	0.864394593	0.297355368
2296	0.8641069888	0.2973293047
2297	0.864394593	0.2972878006
2298	0.8645383952	0.2972607823
2299	0.864394593	0.2972264981
2300	0.864394593	0.2971972694
2301	0.864394593	0.2971597488
2302	0.864394593	0.2971247991
2303	0.864394593	0.2970986251
2304	0.864394593	0.297075894
2305	0.864394593	0.2970565994
2306	0.864394593	0.2970377134
2307	0.8642507909	0.2969958634
2308	0.8641069888	0.2969731649
2309	0.8645383952	0.2969229893
2310	0.8642507909	0.2968889085
2311	0.8642507909	0.2968616429
2312	0.8642507909	0.2968376211
2313	0.8641069888	0.2967972792
2314	0.8641069888	0.2967641005
2315	0.864394593	0.2967390445
2316	0.8641069888	0.296715416
2317	0.8645383952	0.2966722877
2318	0.8645383952	0.2966350934
2319	0.864394593	0.2966017111
2320	0.8645383952	0.296577091
2321	0.8646821973	0.2965337379
2322	0.8648259994	0.2965032808
2323	0.8648259994	0.2964638907
2324	0.8648259994	0.2964366331
2325	0.8649698016	0.2964047577
2326	0.8648259994	0.2963735393
2327	0.8651136037	0.2963293249
2328	0.8649698016	0.2962767727
2329	0.8649698016	0.2962469382
2330	0.8651136037	0.2962217518
2331	0.8651136037	0.2961919423
2332	0.8652574058	0.2961790556
2333	0.8654012079	0.2961436193
2334	0.8654012079	0.2961149848
2335	0.8654012079	0.2960646906
2336	0.8654012079	0.2960504586
2337	0.8654012079	0.29602738
2338	0.8654012079	0.2959821182
2339	0.8652574058	0.2959595115
2340	0.8652574058	0.2959175071
2341	0.8652574058	0.295892938
2342	0.8652574058	0.2958257306
2343	0.8652574058	0.2958035817
2344	0.8652574058	0.2957708557
2345	0.8652574058	0.295727052
2346	0.8652574058	0.2957052615
2347	0.8651136037	0.2956764774
2348	0.8652574058	0.295627794
2349	0.8652574058	0.2955998058
2350	0.8654012079	0.2955775621
2351	0.8655450101	0.2955347875
2352	0.8655450101	0.2954887249
2353	0.8655450101	0.2954667592
2354	0.8656888122	0.2954303773
2355	0.8656888122	0.2953980247
2356	0.8656888122	0.2953736329
2357	0.8656888122	0.2953524018
2358	0.8654012079	0.2953094205
2359	0.8656888122	0.2952652706
2360	0.8655450101	0.2952410582
2361	0.8655450101	0.2952135857
2362	0.8655450101	0.2951806377
2363	0.8656888122	0.2951463486
2364	0.8656888122	0.2951284239
2365	0.8658326143	0.2951027742
2366	0.8658326143	0.2950843903
2367	0.8658326143	0.2950502464
2368	0.8658326143	0.2950143529
2369	0.8656888122	0.2949773856
2370	0.8656888122	0.2949378172
2371	0.8656888122	0.2949201329
2372	0.8658326143	0.2948948015
2373	0.8658326143	0.2948662409
2374	0.8656888122	0.294828377
2375	0.8658326143	0.2947927536
2376	0.8658326143	0.2947556853
2377	0.8655450101	0.294695915
2378	0.8655450101	0.2946671548
2379	0.8655450101	0.2946447686
2380	0.8655450101	0.2946190239
